id_actividad,id_pais,id_ccaa,id_provincia,año,mes,categoria,producto,subcategoria,comunidad_autonoma,provincia,gasto_total_promedio,precio_medio_entrada_promedio,valoracion_por_categoria_promedio,valoracion_general_promedio,total_opiniones_categoria_promedio,hay_valoracion
161,ES,07,49,2023,7,vida nocturna,espectaculos,musica,castilla y leon,zamora,36399.0,1103.0,4.27,4.17,462,True
162,ES,09,08,2023,7,vida nocturna,espectaculos,musica,cataluna,barcelona,844822.43,1658.9,3.95,4.05,119743,True
163,ES,09,17,2023,7,vida nocturna,espectaculos,musica,cataluna,girona,188796.47,1270.11,3.8,4.24,12856,True
164,ES,09,25,2023,7,vida nocturna,espectaculos,musica,cataluna,lleida,202674.5,1830.5,3.84,4.27,1184,True
165,ES,09,43,2023,7,vida nocturna,espectaculos,musica,cataluna,tarragona,255957.85,942.65,4.1,4.2,22730,True
166,ES,18,51,2023,7,vida nocturna,espectaculos,musica,ceuta,ceuta,6048.0,96.0,0.0,0.0,0,False
167,ES,13,28,2023,7,vida nocturna,espectaculos,musica,comunidad de madrid,madrid,1790684.75,970.88,3.85,4.1,100430,True
168,ES,15,31,2023,7,vida nocturna,espectaculos,musica,comunidad foral de navarra,navarra,463272.57,2027.14,3.72,4.23,2565,True
169,ES,10,03,2023,7,vida nocturna,espectaculos,musica,comunitat valenciana,alicante/alacant,120728.31,1496.85,4.03,4.28,84389,True
170,ES,10,12,2023,7,vida nocturna,espectaculos,musica,comunitat valenciana,castellon/castello,33561.0,1056.0,3.88,4.2,2406,True
171,ES,10,46,2023,7,vida nocturna,espectaculos,musica,comunitat valenciana,valencia/valencia,1036629.0,1496.2,3.72,4.15,9307,True
172,ES,11,06,2023,7,vida nocturna,espectaculos,musica,extremadura,badajoz,16551.25,1278.0,4.31,4.29,2109,True
173,ES,11,10,2023,7,vida nocturna,espectaculos,musica,extremadura,caceres,67657.25,788.75,3.95,4.33,1377,True
174,ES,12,15,2023,7,vida nocturna,espectaculos,musica,galicia,a coruna,375328.12,877.62,3.74,4.21,5653,True
175,ES,12,27,2023,7,vida nocturna,espectaculos,musica,galicia,lugo,1790.0,236.0,4.18,4.28,502,True
176,ES,12,32,2023,7,vida nocturna,espectaculos,musica,galicia,ourense,10360.0,280.0,3.7,4.15,660,True
177,ES,12,36,2023,7,vida nocturna,espectaculos,musica,galicia,pontevedra,429890.57,1298.71,4.0,4.17,3092,True
