AÑO;MES;CCAA;TIPO_VIVIENDA;VIVIENDAS_TURISTICAS;PLAZAS;VALORACIONES;PLAZAS_POR_VIVIENDA_TURISTICA;PORCENTAJE_VIVIENDAS_TURISTICAS;PRECIO
2023;6;Comunidad Foral de Navarra;Alternativo;27;147;4,68;5,44;0,01;212,67
2023;6;Comunidad Foral de Navarra;Apartamento;39;166;4,74;4,26;0,01;168,82
2023;6;Comunidad Foral de Navarra;Casa entera;1016;5824;4,51;5,73;0,31;245,94
2023;6;Comunidad Foral de Navarra;Habitación compartida;15;132;4,16;8,8;0,0;183,6
2023;6;Comunidad Foral de Navarra;Habitación privada;433;1241;4,62;2,87;0,13;113,61
2023;6;Comunidad Foral de Navarra;No aplica;0;0;;;0,0;
2023;6;Comunidad de Madrid;Alternativo;128;505;4,69;3,95;0,0;143,37
2023;6;Comunidad de Madrid;Apartamento;693;2705;4,62;3,9;0,02;272,32
2023;6;Comunidad de Madrid;Casa entera;13256;61525;4,52;4,64;0,45;217,19
2023;6;Comunidad de Madrid;Habitación compartida;93;278;4,64;2,99;0,0;49,9
2023;6;Comunidad de Madrid;Habitación privada;5639;14115;4,61;2,5;0,19;104,33
2023;6;Comunidad de Madrid;No aplica;0;0;;;0,0;
2023;6;Comunidad de Madrid;Otros;9;17;4,67;1,89;0,0;126,33
2023;6;Comunitat Valenciana;Alternativo;547;2408;4,7;4,4;0,02;215,92
2023;6;Comunitat Valenciana;Apartamento;1366;5548;4,63;4,06;0,04;126,59
2023;6;Comunitat Valenciana;Casa entera;53495;288517;4,62;5,39;1,63;245,98
2023;6;Comunitat Valenciana;Habitación compartida;34;148;4,7;4,35;0,0;43,85
2023;6;Comunitat Valenciana;Habitación privada;5329;14086;4,61;2,64;0,16;86,19
2023;6;Comunitat Valenciana;No aplica;0;0;;;0,0;
2023;6;Comunitat Valenciana;Otros;6;5;4,68;0,83;0,0;116,5
2023;6;Extremadura;Alternativo;51;164;4,2;3,22;0,01;112,8
2023;6;Extremadura;Apartamento;131;531;4,7;4,05;0,02;117,82
2023;6;Extremadura;Casa entera;1357;7285;4,42;5,37;0,19;172,93
2023;6;Extremadura;Habitación compartida;5;16;4,71;3,2;0,0;39,8
2023;6;Extremadura;Habitación privada;229;728;4,51;3,18;0,03;140,51
2023;6;Extremadura;No aplica;0;0;;;0,0;
2023;6;Galicia;Alternativo;408;1684;4,73;4,13;0,02;160,05
2023;6;Galicia;Apartamento;384;1377;4,74;3,59;0,02;137,81
2023;6;Galicia;Casa entera;16359;89909;4,7;5,5;0,93;182,31
2023;6;Galicia;Habitación compartida;38;217;4,79;5,71;0,0;36,97
2023;6;Galicia;Habitación privada;1806;5338;4,67;2,96;0,1;122,7
2023;6;Galicia;No aplica;0;0;;;0,0;
2023;6;Galicia;Otros;3;7;4,74;2,33;0,0;56,67
2023;6;Illes Balears;Alternativo;427;1816;4,72;4,25;0,07;388,0
2023;6;Illes Balears;Apartamento;508;2041;4,69;4,02;0,08;300,94
2023;6;Illes Balears;Casa entera;23791;153034;4,69;6,43;3,65;727,43
2023;6;Illes Balears;Habitación compartida;6;16;3,2;2,67;0,0;1755,0
2023;6;Illes Balears;Habitación privada;2137;5897;4,65;2,76;0,33;300,99
2023;6;Illes Balears;No aplica;0;0;;;0,0;
